sample_id,tibetan_audio,chinese_text,tibetan_text
f21-La41_16,./TCST/wav/U-Tsang/f21-La41/f21-La41_16.wav,在一些地方压制信教群众，破坏民族团结，,ས་ཆ་རེ་འགར་དད་ལྡན་མང་ཚོགས་བཙན་གནོན་བྱས་ཏེ་མི་རིགས་མཐུན་སྒྲིལ་ལ་གཏོར་བརླག་དང་།
bodad-103,./TCST/wav/Amdo/bodad/bodad_103.wav,能不能别抽烟,དོན་མ་འཐེན་ན་ཆོག་པ།
maqufc-084,./TCST/wav/Amdo/maqufc/maqufc_084.wav,在党中央统一领导下有序推进，,ཏང་ཀྲུང་དབྱང་གི་གཅིག་གྱུར་འགོ་ཁྲིད་འོག་གོ་རིམ་ལྡན་པའི་སྒོ་ནས་སྐུལ་འདེད་གཏོང་དགོས་ལ།
bodkb-201,./TCST/wav/Kham/bodkb/bodkb_201.wav,我不是故意的,ངས་རྐང་བཙུགས་མ་བྱས།
maqufc-080,./TCST/wav/Amdo/maqufc/maqufc_080.wav,经济发展的主力军必须在实体经济上，,དཔལ་འབྱོར་འཕེལ་རྒྱས་ཀྱི་གཙོ་ཤུགས་འདོན་ས་དེ་ངེས་པར་དུ་དངོས་གཞིའི་དཔལ་འབྱོར་སྟེང་ཡིན། 
L_F_0_10_127,./TCST/wav/U-Tsang/L_F_0_10/L_F_0_10_127.wav,今后也要继续参与联合国各领域的工作，,རྗེས་ཕྱོགས་ཀྱང་མུ་མཐུད་དུ་མཉམ་འབྲེལ་རྒྱལ་ཚོགས་ཀྱི་ཁྱབ་ཁོངས་སོ་སོའི་བྱ་བར་ཞུགས་ཏེ།
L_M_0_10_030,./TCST/wav/U-Tsang/L_M_0_10/L_M_0_10_030.wav,去年德令哈市税收首次突破亿元,ན་ནིང་གཏེར་ལེན་ཁ་གྲོང་ཁྱེར་གྱི་ཁྲལ་བསྡུ་ཡོང་སྒོ་ཐོག་མར་སྒོར་དུང་ཕྱུར་ལས་བརྒལ་བ།
f21-La41_386,./TCST/wav/U-Tsang/f21-La41/f21-La41_386.wav,你有什么样式的家具或传统样式的吗？,ཁྱོད་བཟོ་ལྟ་གང་འདྲ་ཞིག་གི་ནང་ཆས་ཡོད་དམ་སྲོལ་རྒྱུན་གི་རྒྱུ་ཆ་ཡོད་དམ།
bodad-177,./TCST/wav/Amdo/bodad/bodad_177.wav,这件东西拿一下,འདི་ཅིག་ལོང་པ།
f71-La16_155,./TCST/wav/U-Tsang/f71-La16/f71-La16_155.wav,建立和完善高尚的科学伦理。,ཚན་རིག་གི་མི་ཆོས་བླ་ན་མེད་པ་འཛུགས་སྤེལ་དང་འཐུས་ཚང་དུ་གཏོང་རྒྱུ།
bodad-038,./TCST/wav/Amdo/bodad/bodad_038.wav,出什么事情了,དོན་དག་ཆི་བྱུང་དང་ནི་རེད།
L_M_0_10_172,./TCST/wav/U-Tsang/L_M_0_10/L_M_0_10_172.wav,甚至可以对全球的气候空气产生重要影响。,ཐ་ན་སའི་གོ་ལ་ཧྲིལ་བོའི་གནམ་གཤིས་མཁའ་དབུགས་ལ་ཤུགས་རྐྱེན་གལ་ཆེན་ཐེབས་ཐུབ།
L_M_0_13_355,./TCST/wav/U-Tsang/L_M_0_13/L_M_0_13_355.wav,是贯彻落实藏区工作座谈会精神的第一年。,བོད་ཁུལ་བྱ་བའི་བཞུགས་མོལ་ཚོགས་འདུའི་དགོངས་དོན་ལག་ལེན་མཐར་ཕྱིན་བྱེད་པའི་ལོ་དང་པོ་ཡིན།
f71-La16_13,./TCST/wav/U-Tsang/f71-La16/f71-La16_13.wav,通过农民辛勤劳动和国家政策扶持，,ཞིང་པས་དཀའ་བ་སྤྱད་དེ་ངལ་རྩོལ་བྱེད་པ་དང་རྒྱལ་ཁབ་ཀྱི་སྲིད་ཇུས་ཀྱིས་རོགས་སྐྱོར་བྱེད་པར་བརྟེན།
L_M_0_13_383,./TCST/wav/U-Tsang/L_M_0_13/L_M_0_13_383.wav,哥斯达黎加中部地区发生较强地震。,ཁོ་སི་ཐཱ་རེ་ཁཱ་དབུས་ཕྱོགས་ས་ཁུལ་དུ་ས་འགུལ་ཅུང་དྲག་པོ་བྱུང་བ།
L_M_0_20_109,./TCST/wav/U-Tsang/L_M_0_20/L_M_0_20_109.wav,列席人员名单草案的议案。,ཟུར་ཞུགས་མི་སྣའི་མིང་ཐོའི་འཆར་ཟིན་བཅས་ལ་གྲོས་ཞིབ་བྱེད་རྒྱུའི་གྲོས་གཞི་བཏོན།
L_M_0_18_168,./TCST/wav/U-Tsang/L_M_0_18/L_M_0_18_168.wav,切尼曾担任那家公司的总裁。,ཆེ་ནེ་ཡིས་སྔོན་ཆད་ཀུང་ཟི་དེའི་ཙུང་ཚེ་ཡི་འགན་ཁུར་མྱོང་།
f71-La16_214,./TCST/wav/U-Tsang/f71-La16/f71-La16_214.wav,有的甚至有上帝和基督教干预教育。,འགའ་ཞིག་ཏུ་གནམ་བདག་དང་ཡེ་ཤུའི་ཆོས་ལུགས་ཀྱིས་སློབ་གསོར་ཐེ་གཏོགས་བྱེད་པའང་ཡོད།
L_M_0_18_364,./TCST/wav/U-Tsang/L_M_0_18/L_M_0_18_364.wav,为未来五年的务实合作指明了方向。,འབྱུར་འགྱུར་གྱི་ལོ་ལྔའི་དངོས་གཉེར་མཉམ་ལས་ལ་ཁ་ཕྱོགས་གསལ་བོ་ཞིག་བསྟན་པ་དང་།
m20-La40_107,./TCST/wav/U-Tsang/m20-La40/m20-La40_107.wav,着力提高自主创新能力，,རང་བདག་གསར་གཏོད་ཀྱི་ནུས་པ་ཆེ་རུ་གཏོང་རྒྱུར་ཤུགས་སྣོན་རྒྱག་པ།
L_F_0_13_296,./TCST/wav/U-Tsang/L_F_0_13/L_F_0_13_296.wav,中美之间出现了贸易摩擦和谷歌互联网事件。,ཀྲུང་མེའི་བར་ཚོང་གི་དཀའ་རྙོག་དང་ཀུ་ཀོ་དྲ་བའི་དོན་རྐྱེན་བྱུང་བ་དང་།
m25-La28_96,./TCST/wav/U-Tsang/m25-La28/m25-La28_96.wav,发展社会主义民主政治，,སྤྱི་ཚོགས་རིང་ལུགས་ཀྱི་དམངས་གཙོའི་ཆབ་སྲིད་གོང་འཕེལ་གཏོང་བ།
f58-La68_343,./TCST/wav/U-Tsang/f58-La68/f58-La68_343.wav,我叔叔那一年心脏病发作了。,ངའི་ཨ་ཁུ་དེ་སྔོན་ལོ་དེ་ལ་སྙིང་གི་ན་ཚ་དེ་ལངས་འདུག།
maqufc-070,./TCST/wav/Amdo/maqufc/maqufc_070.wav,积极发展数字经济和现代服务业。,ཧུར་ཐག་གིས་ཨང་ཀིའི་དཔལ་འབྱོར་དང་དེང་རབས་ཞབས་ཞུའི་ལས་རིགས་འཕེལ་རྒྱས་གཏོང་དགོས། 
L_M_0_20_010,./TCST/wav/U-Tsang/L_M_0_20/L_M_0_20_010.wav,河池是革命老区和少数民族地区。,ཧི་ཁྲི་ནི་གསར་བརྗེའི་གནས་རྙིང་དང་གྲངས་ཉུང་མི་རིགས་ཀྱི་ས་ཁུལ་ཡིན་ལ།
f58-La68_140,./TCST/wav/U-Tsang/f58-La68/f58-La68_140.wav,自力更生不是盲目排外。,རང་སྟོབས་རང་སྤེལ་ཞེས་པ་དེ་ཡང་མུན་འཐོམས་ཀྱིས་ཕྱི་རྒྱལ་ཟུར་འབུད་བྱ་རྒྱུ་དེ་མིན།
f21-La41_253,./TCST/wav/U-Tsang/f21-La41/f21-La41_253.wav,或者订立区域性集体合同。,ཡང་ན་ས་ཁོངས་ཀྱི་རང་བཞིན་ལྡན་པའི་ཐུན་མོང་གི་གན་རྒྱ་བཞག་ཆོག།
L_M_0_06_341,./TCST/wav/U-Tsang/L_M_0_06/L_M_0_06_341.wav,注重读者、贴近百姓的特点，,ཀློག་པ་པོ་གཙིགས་སུ་བཟུང་ཞིང་མི་སེར་དང་བར་ཐག་ཉེ་བ་བཅས་ཀྱི་ཁྱད་ཆོས་ལྡན་ལ།
L_M_0_13_129,./TCST/wav/U-Tsang/L_M_0_13/L_M_0_13_129.wav,周永康参加了重庆代表团审议。,ཀྲིག་ཡུང་ཁང་ཁྲུང་ཆིན་འཐུས་ཚབ་ཚོགས་པའི་གྲོས་ཞིབ་ལ་ཞུགས་པ།
bodkb-168,./TCST/wav/Kham/bodkb/bodkb_168.wav,能不能加一下微信,སྐད་འཕྲིན་ཞིག་བསྣན་ཨེ་ཆོག
L_F_0_02_277,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_277.wav,这是胡锦涛和吴伯雄握手的情景。,འདི་ནི་ཧུའུ་ཅིན་ཐའོ་དང་བུའུ་པོ་ཞོང་རྣམ་གཉིས་ཀྱིས་ཕྱག་འཇུ་བྱེད་བཞིན་པའི་ཚུལ་རེད།
L_F_0_10_155,./TCST/wav/U-Tsang/L_F_0_10/L_F_0_10_155.wav,表示愿意承担实现和平的风险，,ཞི་བདེ་མངོན་འགྱུར་བྱེད་པའི་ཉེན་ཁ་ཁག་ཁུར་བྱེད་འདོད་ཡོད་པའི་བསམ་ཚུལ་བསྟན།
f71-La16_133,./TCST/wav/U-Tsang/f71-La16/f71-La16_133.wav,能够熟练使用两种以上当地通用的语言文字的,རང་ཉིད་གནས་པའི་ས་དེ་གའི་སྐད་ཡིག་གཉིས་ཡན་ཐོགས་པ་མེད་པར་འཆད་ཐུབ་པ་ཞིག་ཡིན་ན།
L_M_0_18_350,./TCST/wav/U-Tsang/L_M_0_18/L_M_0_18_350.wav,汽车租赁市场正处于繁荣时期。,རླངས་འཁོར་གླ་གཏོང་ཁྲོམ་ར་དེ་ཅུང་རྒྱས་པའི་སྐབས་སུ་སླེབས་ཡོད་པ་རེད།
maqufc-116,./TCST/wav/Amdo/maqufc/maqufc_116.wav,全面夯实粮食安全基础要抓住物质基础，,ཕྱོགས་ཡོངས་ནས་འབྲུ་རིགས་བདེ་འཇགས་ཀྱི་རྨང་གཞི་སྲ་བརྟན་དུ་གཏོང་བར་དངོས་པོའི་རྨང་གཞི་དམ་འཛིན་བྱས་ཏེ། 
f58-La68_366,./TCST/wav/U-Tsang/f58-La68/f58-La68_366.wav,那些邮政职员通常在两点钟到达。,སྦྲག་སྲིད་ལས་མི་དེ་ཚོ་ནམ་རྒྱུན་ཆུ་ཚོད་གཉིས་པ་ལ་སླེབས་ཀྱི་ཡོད།
maqufb-020,./TCST/wav/Amdo/maqufb/maqufb_020.wav,定点药品机构直接结算，无需登记。,དམིགས་འཛུགས་སྨན་རྫས་སྒྲིག་གཞི་ནས་ཐད་ཀར་སྡོམ་རྩིས་རྒྱག་པ་ལས་ཐོ་འགོད་བྱེད་མི་དགོས། 
L_M_0_10_333,./TCST/wav/U-Tsang/L_M_0_10/L_M_0_10_333.wav,发放宣传围裙、环境保护袋等。,དྲིལ་བསྒྲགས་པང་ཁེབས་དང་ཁོར་ཡུག་སྲུང་སྐྱོང་ཁུག་སོགས་འགྲེམ་གཏོང་བྱས་པ་རེད།
L_M_0_13_169,./TCST/wav/U-Tsang/L_M_0_13/L_M_0_13_169.wav,有质量的四个统一的目标。,སྤུས་ཚད་ཡོད་པབཅས་གཅིག་གྱུར་བྱེད་པ་བཞིའི་དམིགས་འབེན་མངོན་འགྱུར་བྱུང་ཡོད།
f6-La11_343,./TCST/wav/U-Tsang/f6-La11/f6-La11_343.wav,我正在用吸尘器打扫卫生，还有一堆衬衫。,ང་ད་ལྟ་དབུག་འཐེན་གད་ཕྱིས་འཕྲུལ་འཁོར་གྱི་གཙང་སྦྲ་བྱེདཀྱི་ཡོད།ད་དུང་འོག་འཇམ་ཁག་གཅིག་སྡད་འདུག
bodad-117,./TCST/wav/Amdo/bodad/bodad_117.wav,你写了多久,ཁྱེས་ཆི་མོ་ཟིག་ག་བྲིས་དང།
f58-La68_281,./TCST/wav/U-Tsang/f58-La68/f58-La68_281.wav,班禅额尔德尼·确吉坚赞副委员长永垂不朽！,ཨུ་ཡོན་ཀྲང་གཞོན་པ་པཎ་ཆེན་ཨེར་ཏེ་ནི་ཆོས་ཀྱི་རྒྱལ་མཚན་མཆོག་ཇི་སྲིད་བསྐལ་པའི་བར་གནས་པར་གྱུར་ཅིག
f6-La11_335,./TCST/wav/U-Tsang/f6-La11/f6-La11_335.wav,明天没有课。,སང་གཉིན་སློབ་ཚན་མེད་པ་རེད།
L_F_0_13_208,./TCST/wav/U-Tsang/L_F_0_13/L_F_0_13_208.wav,中共中央政治局常委，,ཀྲུང་གུང་ཀྲུང་དབྱང་ཆབ་སྲིད་ཅུའི་རྒྱུན་ལས་ཨུ་ཡོན།
L_F_0_10_269,./TCST/wav/U-Tsang/L_F_0_10/L_F_0_10_269.wav,精心做好涉外工作，,སེམས་ཞིབ་མོས་ཕྱི་ཕྱོགས་དང་འབྲེལ་བའི་བྱ་བ་ལེགས་པར་བསྒྲུབ་པ་དང་།
L_F_0_13_265,./TCST/wav/U-Tsang/L_F_0_13/L_F_0_13_265.wav,在印控克什米尔地区的索布尔镇。,རྒྱ་གར་གྱིས་ཚོད་འཛིན་བྱེད་པའི་ཁི་ཧྲི་མུས་ཨར་ས་ཁུལ་གྱི་སོ་པོ་ཨར་གྲོང་བརྡལ་ནས།
L_F_0_02_144,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_144.wav,全国人大常委会委员，,རྒྱལ་ཡོངས་དམངས་འཐུས་ཚོགས་ཆེན་རྒྱུན་ལས་ཨུ་ཡོན་ལྷན་ཁང་གི་ཨུ་ཡོན།
L_M_0_10_360,./TCST/wav/U-Tsang/L_M_0_10/L_M_0_10_360.wav,预计今年五一前完成。,སྔོན་དཔག་ལྟར་ན་ད་ལོའི་ལྔ་གཅིག་དུས་ཆེན་གྱི་སྔོན་ལ་ལེགས་འགྲུབ་འབྱུང་ངེས།
f21-La41_218,./TCST/wav/U-Tsang/f21-La41/f21-La41_218.wav,艾滋病病毒如何摧毁机体的免疫系统？,ཨེ་ཙི་ནད་ཀྱི་ནད་དུག་གིས་ལུས་ཕུང་གི་རིམས་འགོག་མ་ལག་ཇི་ལྟར་འཇོམས་པ་ཡིན།
L_M_0_06_126,./TCST/wav/U-Tsang/L_M_0_06/L_M_0_06_126.wav,宋秀岩在玉树慰问妇女儿童。,སུང་ཞིག་ཡན་གྱིས་ཡུལ་ཤུལ་རུ་བུད་མེད་དང་བྱིས་པར་འཚམས་འདྲི་བྱེད་བཞིན་པ།
L_M_0_18_133,./TCST/wav/U-Tsang/L_M_0_18/L_M_0_18_133.wav,学生们正在学习烹调技术。,སློབ་མ་ཚོས་ཟ་མ་གཡས་སྦྱོར་གྱི་ལག་རྩལ་སློབ་སྦྱོང་བྱེད་བཞིན་ཡོད་པ།
L_M_0_20_053,./TCST/wav/U-Tsang/L_M_0_20/L_M_0_20_053.wav,亚齐特别行政区部分地区停电。,ཡཱ་ཆི་དམིགས་བསལ་སྲིད་འཛིན་ས་ཁུལ་གྱི་ས་ཆ་ཁ་ཤས་སུ་གློག་ཆད་པ་དང་།
L_F_0_13_096,./TCST/wav/U-Tsang/L_F_0_13/L_F_0_13_096.wav,湟源县等5个试点县进行，,སྟོང་སྐོར་རྫོང་སོགས་ཚོད་ལྟ་བྱེད་སའི་རྫོང་ལྔ་རུ་འགྲེམ་སྤེལ་བྱས་ཤིང་།
bodwz-144,./TCST/wav/U-Tsang/bodwz/bodwz_144.wav,你看今天的新闻了吗,ལྷ་སའི་སྐད།རང་དེ་རིང་གི་གསར་འགྱུར་ལ་བལྟས་པས།
f58-La68_215,./TCST/wav/U-Tsang/f58-La68/f58-La68_215.wav,无论多么剧烈的病，也不呻吟。,ན་ཚ་དྲག་པོ་ཇི་ལྟར་བྱུང་ཡང་སྨྲེ་སྔགས་མི་འདོན་པ།
L_M_0_20_015,./TCST/wav/U-Tsang/L_M_0_20/L_M_0_20_015.wav,茶古寺僧尼顺利转移。,ཁྲ་འགུ་དགོན་པའི་གྲྭ་བཙུན་རྣམས་བདེ་བླག་ངང་གནས་སྤར་བ།
L_M_0_10_186,./TCST/wav/U-Tsang/L_M_0_10/L_M_0_10_186.wav,四、协调推进城乡改革,བཞི།གྲོང་ཁྱེར་དང་གྲོང་གསེབ་བཅོས་བསྒྱུར་མཐུན་སྦྱོར་ཡོང་བར་སྐུལ་འདེད་བྱས་ཏེ།
f21-La41_127,./TCST/wav/U-Tsang/f21-La41/f21-La41_127.wav,此外还可以列举一些差异较小的品种。,དེ་མིན་ད་དུང་ཁྱད་པར་ཅུང་ཆུང་བའི་རིགས་རྒྱུད་འགའ་དཔེ་མཚོན་དུ་འཇོག་ཆོག
L_F_0_05_362,./TCST/wav/U-Tsang/L_F_0_05/L_F_0_05_362.wav,布隆迪举行总统选举。,པུའུ་ལུང་ཏིས་ཀྱིས་ཙུང་ཐུང་འདེམ་བསྐོའི་བྱ་འགུལ་སྤེལ་བ།
f71-La16_48,./TCST/wav/U-Tsang/f71-La16/f71-La16_48.wav,有利于争取被达赖集团蛊惑的信教群众，,ཏཱ་ལའི་ཚོགས་པས་ངན་གཡོ་མགོ་སྐོར་ཐེབས་པའི་དད་ལྡན་མང་ཚོགས་ཚུར་འགུགས་ལ་ཕན་པ་དང་།
maqufc-137,./TCST/wav/Amdo/maqufc/maqufc_137.wav,以调整基本面、清理源头为重点，,གཞི་རྩའི་སྟེང་ནས་ལེགས་སྒྲིག་དང་འགོ་ཁུངས་གཙང་བཤེར་བྱ་རྒྱུ་གཙོར་བཟུང་ནས། 
m25-La28_215,./TCST/wav/U-Tsang/m25-La28/m25-La28_215.wav,还不理解其真正的原因并不算是严重的。,ད་དུང་དེའི་རྒྱུ་མཚན་དངོས་ལ་གོ་བ་མི་ལོན་པ་ནི་ཚབས་ཆེན་ཞིག་ལ་བརྩི་མི་དགོས་པ་བསྟན་པ་ཡིན།
bodkb-189,./TCST/wav/Kham/bodkb/bodkb_189.wav,麻烦接一下电话,ཁ་པར་ཉོན་རོགས།
L_F_0_02_241,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_241.wav,西藏那曲羌塘恰青赛马艺术节开幕,བོད་ལྗོངས་ནག་ཆུའི་བྱང་ཐང་འཆར་ཅན་རྟ་རྒྱུག་སྒྱུ་རྩལ་དུས་ཆེན་ཚོགས་འགོ་ཚུགས་ཡོད་པ།
L_M_0_20_295,./TCST/wav/U-Tsang/L_M_0_20/L_M_0_20_295.wav,澳门红十字会在澳门表示。,ཨོ་མིན་རྒྱ་གྲམ་དམར་པོ་ཚོགས་པས་ཨོ་མིན་ནས་བཤད་པ་ལྟར་ན།
bodwz-168,./TCST/wav/U-Tsang/bodwz/bodwz_168.wav,能不能加一下微信,སྐད་འཕྲིན་ཞིག་བསྣོན་ན་འགྲིག་གི་རེད་པས།
L_F_0_02_251,./TCST/wav/U-Tsang/L_F_0_02/L_F_0_02_251.wav,保护工作。,སྲུང་སྐྱོབ་བཅས་ཀྱི་བྱ་བར་མཐོང་ཆེན་ཚད་མཐོན་པོ་གནང་གིན་ཡོད་པ་དང་།
f58-La68_352,./TCST/wav/U-Tsang/f58-La68/f58-La68_352.wav,让我接触一个遥远的方向。,ང་ཁ་ཕྱོགས་རྒྱང་བ་ཞིག་ལ་འབྲེལ་བར་བྱ།
m20-La40_272,./TCST/wav/U-Tsang/m20-La40/m20-La40_272.wav,另有一些宗教社会团体和地方组织。,གཞན་ཡང་ཆོས་ལུགས་སྤྱི་ཚོགས་ཚོགས་ཁག་དང་ས་གནས་རྩ་འཛུགས་འགའ་ཡོད།
m25-La28_240,./TCST/wav/U-Tsang/m25-La28/m25-La28_240.wav,用发展的观点对待马克思主义，,གོང་དུ་སྤེལ་བའི་ལྟ་བར་བརྟེན་ནས་མར་ཁེ་སིའི་རིང་ལུགས་ལ་སྤྱོད་ཚུལ་བཟུང་བ།
bodkb-194,./TCST/wav/Kham/bodkb/bodkb_194.wav,我过的很好,ང་བདེ་མོ་ཡིན།
f58-La68_34,./TCST/wav/U-Tsang/f58-La68/f58-La68_34.wav,马在公路上飞驰。,གཞུང་ལམ་གྱི་ཐོག་ནས་རྟ་འཕུར་བ་ལྟར་རྒྱུག་པ།
m25-La28_357,./TCST/wav/U-Tsang/m25-La28/m25-La28_357.wav,我已经尽力了。,ངས་གང་ཐུབ་ཅི་ཐུབ་བྱས་གོ།
m20-La40_143,./TCST/wav/U-Tsang/m20-La40/m20-La40_143.wav,有这种构造，与不长触须的鲸的下颚不一样。,གྲུབ་ཚུལ་འདི་ཡོད་པས་རེག་སྤུ་མི་སྐྱེ་བའི་ཆུ་སྲིན་གྱི་མ་མགལ་དང་མི་འདྲ་བ་ཡིན།
L_F_0_13_323,./TCST/wav/U-Tsang/L_F_0_13/L_F_0_13_323.wav,有些乡镇村民还把牲畜赶出牧场。,ཤང་དང་གྲོང་རྡལ་གྱི་སྡེ་མི་ལ་ལས་ད་རུང་ཕྱུགས་ཟོག་རྣམས་ཕྱུགས་རྭ་ལས་ཕྱིར་ཕུད།
